trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6055438,11:30:00,11:30:00,12011322,7
RTD6055438,11:34:00,11:34:00,12011347,8
RTD6055438,11:39:00,11:39:00,12011445,9
RTD6055438,11:44:00,11:44:00,12135124,10
RTD6055502,11:00:00,11:00:00,12135125,1
RTD6055502,11:10:00,11:10:00,12011430,2
RTD6055502,11:15:00,11:15:00,12011377,3
RTD6055502,11:18:00,11:18:00,1537439,4
RTD6055502,11:22:00,11:22:00,12011431,5
RTD6055502,11:26:00,11:26:00,12011386,6
RTD6055502,11:30:00,11:30:00,12011322,7
RTD6055502,11:34:00,11:34:00,12011347,8
RTD6055502,11:39:00,11:39:00,12011445,9
RTD6055502,11:44:00,11:44:00,12135124,10
RTD6055503,11:30:00,11:30:00,12135125,1
RTD6055503,11:40:00,11:40:00,12011430,2
RTD6055503,11:45:00,11:45:00,12011377,3
RTD6055503,11:48:00,11:48:00,1537439,4
RTD6055503,11:52:00,11:52:00,12011431,5
RTD6055503,11:56:00,11:56:00,12011386,6
RTD6055503,12:00:00,12:00:00,12011322,7
RTD6055503,12:04:00,12:04:00,12011347,8
RTD6055503,12:09:00,12:09:00,12011445,9
RTD6055503,12:14:00,12:14:00,12135124,10
RTD6055439,11:30:00,11:30:00,12135125,1
RTD6055439,11:40:00,11:40:00,12011430,2
RTD6055439,11:45:00,11:45:00,12011377,3
RTD6055439,11:48:00,11:48:00,1537439,4
RTD6055439,11:52:00,11:52:00,12011431,5
RTD6055439,11:56:00,11:56:00,12011386,6
RTD6055439,12:00:00,12:00:00,12011322,7
RTD6055439,12:04:00,12:04:00,12011347,8
RTD6055439,12:09:00,12:09:00,12011445,9
RTD6055439,12:14:00,12:14:00,12135124,10
RTD6055504,12:00:00,12:00:00,12135125,1
RTD6055504,12:10:00,12:10:00,12011430,2
RTD6055504,12:15:00,12:15:00,12011377,3
RTD6055504,12:18:00,12:18:00,1537439,4
RTD6055504,12:22:00,12:22:00,12011431,5
RTD6055504,12:26:00,12:26:00,12011386,6
RTD6055504,12:30:00,12:30:00,12011322,7
RTD6055504,12:34:00,12:34:00,12011347,8
RTD6055504,12:39:00,12:39:00,12011445,9
RTD6055504,12:44:00,12:44:00,12135124,10
RTD6055440,12:00:00,12:00:00,12135125,1
RTD6055440,12:10:00,12:10:00,12011430,2
RTD6055440,12:15:00,12:15:00,12011377,3
RTD6055440,12:18:00,12:18:00,1537439,4
RTD6055440,12:22:00,12:22:00,12011431,5
RTD6055440,12:26:00,12:26:00,12011386,6
RTD6055440,12:30:00,12:30:00,12011322,7
RTD6055440,12:34:00,12:34:00,12011347,8
RTD6055440,12:39:00,12:39:00,12011445,9
RTD6055440,12:44:00,12:44:00,12135124,10
RTD6055505,12:30:00,12:30:00,12135125,1
RTD6055505,12:40:00,12:40:00,12011430,2
RTD6055505,12:45:00,12:45:00,12011377,3
RTD6055505,12:48:00,12:48:00,1537439,4
RTD6055505,12:52:00,12:52:00,12011431,5
RTD6055505,12:56:00,12:56:00,12011386,6
RTD6055505,13:00:00,13:00:00,12011322,7
RTD6055505,13:04:00,13:04:00,12011347,8
RTD6055505,13:09:00,13:09:00,12011445,9
RTD6055505,13:14:00,13:14:00,12135124,10
RTD6055441,12:30:00,12:30:00,12135125,1
RTD6055441,12:40:00,12:40:00,12011430,2
